Available Capacity,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Power plant,Status,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Brikama I 1,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brikama I 3,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brikama I 4,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brikama I 5,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brikama I 7,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
Brikama II 1,Existing NAWEC Thermal - GBA,MW,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0,0,0
Kotu 4,Existing NAWEC Thermal - GBA,MW,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotu 5,Existing NAWEC Thermal - GBA,MW,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Kotu 6,Existing NAWEC Thermal - GBA,MW,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotu 7,Existing NAWEC Thermal - GBA,MW,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotu 8,Existing NAWEC Thermal - GBA,MW,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
Bansang LFO,Existing NAWEC Thermal - Provinces,MW,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0,0,0
Basse HFO,Existing NAWEC Thermal - Provinces,MW,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0,0,0,0,0
Farafenni I+II HFO,Existing NAWEC Thermal - Provinces,MW,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,0,0,0,0,0
Karpower,Existing rented - GBA,MW,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barra imports,Existing imports,MW,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farafenni imports,Existing imports,MW,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brikama III,Existing NAWEC Thermal - GBA,MW,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
ICE 30 MW (HFO),Committed,MW,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Imports PPA (Guinea Hydro),Committed,MW,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
World Bank - Jambur Solar PV,Committed,MW,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
World Bank Jambur Battery,Committed,MW,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0
CCGT Cote d'Ivoire,Candidate Thermal,MW,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
CCGT in Senegal,Candidate Thermal,MW,0,0,0,60,60,60,80,80,80,80,80,100,100,120,120,140,140,160,160,160
CCGT in The Gambia (LNG),Candidate Thermal,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICE (HFO),Candidate Thermal,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40,40,40
OCGT (LNG),Candidate Thermal,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bansang Solar PV,Candidate Solar PV,MW,0,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Barra-Essau Solar PV,Candidate Solar PV,MW,0,1,1,1,1,3,3,8,8,8,11,12,12,12,14,14,15,15,15,15
Basse NAMA Solar PV,Candidate Solar PV,MW,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Basse North Bank Solar PV,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,0,2,2,2,2,17,22,23,23,23,23
Bwiam Solar PV,Candidate Solar PV,MW,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Farafenni - NAMA Solar PV,Candidate Solar PV,MW,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Farafenni East Solar PV,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
GBA East Solar PV,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,56
Njaba Kunda Solar PV,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Njaw - IDB Solar PV,Candidate Solar PV,MW,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N'Joben Solar PV,Candidate Solar PV,MW,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nyanga Bantang Solar PV,Candidate Solar PV,MW,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Soma Solar Park I+II+III,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,80,80
Soma West Solar PV,Candidate Solar PV,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z-One -  Jambur,Candidate Solar PV,MW,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Generic Wind,Candidate Wind,MW,0,0,0,0,0,0,0,0,0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Generic battery 4h,Candidate battery,MW,0,0,0,0,0,0,0,3,10,40,40,40,40,46,51,51,60,60,62,68
Generic Battery 6h,Candidate battery,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,MW,132.94,234.94,258.44,291.44,309.44,313.44,333.44,341.44,348.44,451.04,456.04,477.04,477.04,503.04,525.04,559.84,564.84,615,617,681
Total import,,MW,6,46,80,140,140,140,160,160,160,160,160,180,180,200,200,220,220,240,240,240
Total domestic,,MW,126.94,188.94,178.44,151.44,169.44,173.44,173.44,181.44,188.44,291.04,296.04,297.04,297.04,303.04,325.04,339.84,344.84,375,377,441
Peak demand,,MW,107.4,127.4,143.7,156.85,166.2,175.6,185.6,196,208.97,218.3,227.9,237.9,248.3,259.2,270.6,282.5,294.9,307.9,321.5,333.5
Reserves margin,,%,1.237802607,1.84411303,1.798469033,1.858080969,1.861853189,1.784965831,1.796551724,1.742040816,1.667416376,2.066147503,2.001053093,2.005212274,1.921224325,1.940740741,1.940280857,1.981734513,1.915361139,1.997401754,1.919129082,2.04197901
Reserves margin domestic,,%,1.181936685,1.483045526,1.241753653,0.965508448,1.019494585,0.987699317,0.934482759,0.925714286,0.901756233,1.333211177,1.298990785,1.248591845,1.196294805,1.169135802,1.201182557,1.202973451,1.169345541,1.217927899,1.172628305,1.322338831
Import capacity,,% of demand,0.055865922,0.361067504,0.556715379,0.892572522,0.842358604,0.797266515,0.862068966,0.816326531,0.765660143,0.732936326,0.702062308,0.756620429,0.724929521,0.771604938,0.7390983,0.778761062,0.746015599,0.779473855,0.746500778,0.71964018
Domestic capacity,,% of demand,1.181936685,1.483045526,1.241753653,0.965508448,1.019494585,0.987699317,0.934482759,0.925714286,0.901756233,1.333211177,1.298990785,1.248591845,1.196294805,1.169135802,1.201182557,1.202973451,1.169345541,1.217927899,1.172628305,1.322338831
RES Capacity,,% of total,0,0.408614966,0.371459526,0.329398847,0.368407446,0.376467586,0.353886756,0.360238988,0.353001952,0.458052501,0.463994386,0.445664934,0.445664934,0.422630407,0.437300015,0.4190483,0.418879683,0.415609756,0.414262561,0.460499266
,,,,,,,,,,,,,,,,,,,,,,
,,Data for figure,,,,,,,,,,,,,,,,,,,,
,,,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
,,Existing Thermal,108.54,78.54,68.04,41.04,41.04,41.04,41.04,41.04,41.04,30.04,30.04,30.04,30.04,30.04,30.04,19.84,19.84,11,11,11
,,Existing imports,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Brikama III,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
,,ICE 30 MW (HFO),0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,Imports PPA (Guinea Hydro),0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,CCGT Cote d'Ivoire,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,CCGT in Senegal,0,0,0,60,60,60,80,80,80,80,80,100,100,120,120,140,140,160,160,160
,,CCGT in The Gambia (LNG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,ICE (HFO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40,40,40
,,OCGT (LNG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Solar PV,0,56,56,56,74,78,78,83,83,163,168,169,169,169,186,191,193,212,212,270
,,Wind,0,0,0,0,0,0,0,0,0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
,,Batteries,0,6,6,6,6,6,6,9,16,46,46,46,46,52,57,57,60,60,62,68
,,Total,132.94,234.94,258.44,291.44,309.44,313.44,333.44,341.44,348.44,451.04,456.04,477.04,477.04,503.04,525.04,559.84,564.84,615,617,681
,,Peak demand,107.4,127.4,143.7,156.85,166.2,175.6,185.6,196,208.97,218.3,227.9,237.9,248.3,259.2,270.6,282.5,294.9,307.9,321.5,333.5
,,Peak demand (with reserves margin),123.51,146.51,165.255,180.3775,191.13,201.94,213.44,225.4,240.3155,251.045,262.085,273.585,285.545,298.08,311.19,324.875,339.135,354.085,369.725,383.525