Available Capacity,,,
Power plant,Status,Unit,2021
Brikama I 1,Existing NAWEC Thermal - GBA,MW,5.5
Brikama I 3,Existing NAWEC Thermal - GBA,MW,5.5
Brikama I 4,Existing NAWEC Thermal - GBA,MW,5.5
Brikama I 5,Existing NAWEC Thermal - GBA,MW,5.5
Brikama I 7,Existing NAWEC Thermal - GBA,MW,5.5
Brikama II 1,Existing NAWEC Thermal - GBA,MW,8.5
Kotu 4,Existing NAWEC Thermal - GBA,MW,5.5
Kotu 5,Existing NAWEC Thermal - GBA,MW,11
Kotu 6,Existing NAWEC Thermal - GBA,MW,5
Kotu 7,Existing NAWEC Thermal - GBA,MW,5
Kotu 8,Existing NAWEC Thermal - GBA,MW,5.5
Bansang LFO,Existing NAWEC Thermal - Provinces,MW,0.34
Basse HFO,Existing NAWEC Thermal - Provinces,MW,5.4
Farafenni I+II HFO,Existing NAWEC Thermal - Provinces,MW,4.8
Karpower,Existing rented - GBA,MW,30
Barra imports,Existing imports,MW,3
Farafenni imports,Existing imports,MW,3
Brikama III,Existing NAWEC Thermal - GBA,MW,18.4
Total,,MW,132.94
Total import,,MW,6
Total domestic,,MW,126.94
,,,
,,Data for figure,
,,,2021
,,Existing Thermal,108.54
,,Existing imports,6
,,Brikama III,18.4
,,ICE 30 MW (HFO),0
,,Imports PPA (Guinea Hydro),0
,,CCGT Cote d'Ivoire,0
,,CCGT in Senegal,0
,,CCGT in The Gambia (LNG),0
,,ICE (HFO),0
,,OCGT (LNG),0
,,Solar PV,0
,,Wind,0
,,Batteries,0
,,Total,132.94
,,Peak demand,107.4
,,Peak demand (with reserves margin),123.51